"","x"
"972","Epinephelus spp"
"973","Trichiuridae"
"974","Mugilidae"
"975","Natantia"
"976","Sparidae"
"977","Rajiformes"
"978","Ariidae"
"979","Lutjanidae"
"980","Nemipteridae"
"981","Panulirus spp"
"982","Rhinobatidae"
"983","Brachyura"
"984","Metapenaeus spp"
"985","Parapenaeopsis spp"
"986","Penaeus spp"
"987","Muraenesox spp"
"988","Carcharhinidae"
"989","Nemipterus spp"
"990","Scaridae"
"991","Acanthuridae"
"992","Loligo spp"
"993","Synodontidae"
"994","Diplodus spp"
"995","Mustelus spp"
"996","Mullus spp"
"997","Bivalvia"
"998","Dentex spp"
"999","Pleuronectiformes"
"1000","Micropogonias spp"
"1001","Genypterus spp"
"1002","Gastropoda"
"1003","Sphyrnidae"
"1004","Octopodidae"
"1005","Seriolella spp"
"1006","Anadara spp"
"1007","Congridae"
"1008","Mullidae"
"1009","Gobiidae"
"1010","Serranidae"
"1011","Gerres spp"
"1012","Pagellus spp"
"1013","Percoidei"
"1014","Holothuroidea"
"1015","Sergestidae"
"1016","Scyllaridae"
"1017","Squillidae"
"1018","Polynemidae"
"1019","Chirocentrus spp"
"1020","Labridae"
"1021","Lutjanus spp"
"1022","Pseudotolithus spp"
"1023","Palinurus spp"
"1024","Pagrus spp"
"1025","Balistidae"
"1026","Triglidae"
"1027","Bothidae"
"1028","Lophius spp"
"1029","Muraenidae"
"1030","Palaemonidae"
"1031","Spicara spp"
"1032","Portunus spp"
"1033","Raja spp"
"1034","Scorpaenidae"
"1035","Dicentrarchus spp"
"1036","Solen spp"
"1037","Soleidae"
"1038","Paralichthys spp"
"1039","Batrachoididae"
"1040","Priacanthus spp"
"1041","Gerreidae"
"1042","Centropomus spp"
"1043","Holocentridae"
"1044","Mycteroperca spp"
"1045","Crassostrea spp"
"1046","Ophidiidae"
"1047","Alosa spp"
"1048","Beryx spp"
"1049","Menticirrhus spp"
"1050","Cyprinidae"
"1051","Abramis spp"
"1052","Petromyzontidae"
"1053","Rutilus spp"
"1054","Kyphosidae"
"1055","Mytilidae"
"1056","Osmerus spp, Hypomesus spp"
"1057","Spisula spp"
"1058","Chionoecetes spp"
"1059","Coregonus spp"
"1060","Branchiostegidae"
"1061","Cynoscion spp"
"1062","Cephalopoda"
"1063","Scyliorhinus spp"
"1064","Squalidae"
"1065","Myliobatidae"
"1066","Reptantia"
"1067","Lepidorhombus spp"
"1068","Littorina spp"
"1069","Centrolophidae"
"1070","Ammodytes spp"
"1071","Trachichthyidae"
"1072","Gempylidae"
"1073","Dasyatidae"
"1074","Alopias spp"
"1075","Stomatopoda"
"1076","Squatinidae"
"1077","Veneridae"
"1078","Salvelinus spp"
"1079","Scyliorhinidae"
"1080","Pandalus spp"
"1081","Crangonidae"
"1082","Myxinidae"
"1083","Cottidae"
"1084","Nototheniidae"
"1085","Monacanthidae"
"1086","Pomacanthidae"
"1087","Ruditapes spp"
"1088","Hydrolagus spp"
"1089","Metanephrops spp"
"1090","Meretrix spp"
"1091","Lamnidae"
"1092","Plectorhinchus spp"
"1093","Cardiidae"
"1094","Solenidae"
"1095","Scophthalmidae"
"1096","Trachinidae"
"1097","Lophiidae"
"1098","Platycephalidae"
"1099","Austroglossus spp"
"1100","Squalus spp"
"1101","Palinuridae"
"1102","Trachinus spp"
"1103","Chaceon spp"
"1104","Chimaeriformes"
"1105","Channichthyidae"
"1106","Zeidae"
"1107","Etmopterus spp"
"1108","Oreosomatidae"
"1109","Seriola spp"
"1110","Stromateidae"
"1111","Carangidae"
"1112","Phycis spp"
"1113","Gadiformes"
"1114","Macrourus spp"
"1115","Macrouridae"
"1116","Merluccius spp"
"1117","Hemiramphus spp"
"1118","Rastrelliger spp"
"1119","Trachurus spp"
"1120","Caranx spp"
"1121","Scombridae"
"1122","Istiophoridae"
"1123","Moridae"
"1124","Belonidae"
"1125","Tylosurus spp"
"1126","Bramidae"
"1127","Trachinotus spp"
"1128","Decapterus spp"
"1129","Scomber spp"
"1130","Scomberomorus spp"
"1131","Pampus spp"
"1132","Atherinidae"
"1133","Scombroidei"
